country_of_citizenship,occurences
INDIA ,1205
CHINA,173
SOUTH KOREA,100
CANADA,67
MEXICO,33
PHILIPPINES ,30
TAIWAN,27
VENEZUELA ,24
FRANCE,23
BRAZIL,17
PAKISTAN,17
UKRAINE ,17
UNITED KINGDOM,16
VIETNAM ,16
GERMANY ,12
NEPAL ,12
ITALY ,11
RUSSIA,11
AUSTRALIA ,10
TURKEY,10
COLOMBIA ,8
IRAN ,8
JAPAN,8
POLAND ,8
SPAIN,8
SINGAPORE,7
BANGLADESH ,6
BELARUS,5
CHILE,5
HONG KONG,5
JAMAICA,5
NETHERLANDS,5
NIGERIA,5
ISRAEL ,4
PERU ,4
ARGENTINA,3
BULGARIA ,3
CAMEROON ,3
JORDAN ,3
MOROCCO,3
ROMANIA,3
SLOVAKIA ,3
SOUTH AFRICA ,3
THAILAND ,3
UNITED STATES OF AMERICA ,3
EGYPT,2
EL SALVADOR,2
GREECE ,2
HUNGARY,2
IRELAND,2
NEW ZEALAND,2
PORTUGAL ,2
SERBIA ,2
SRI LANKA,2
SWEDEN ,2
ZAMBIA ,2
AUSTRIA,1
CROATIA,1
CZECH REPUBLIC ,1
DOMINICAN REPUBLIC ,1
ECUADOR,1
FINLAND,1
GHANA,1
GUATEMALA,1
HONDURAS ,1
ICELAND,1
INDONESIA,1
KENYA,1
LEBANON,1
MALAYSIA ,1
MALI ,1
MONGOLIA ,1
NICARAGUA,1
NORWAY ,1
PALESTINE,1
PANAMA ,1
SERBIA AND MONTENEGRO,1
SYRIA,1
TANZANIA ,1
TUNISIA,1
ZIMBABWE ,1
